solvent_id,formula_id,fraction
SOLV-00001,FORM-00001,1.0
SOLV-00002,FORM-00002,1.0
SOLV-00003,FORM-00003,1.0
SOLV-00004,FORM-00004,1.0
SOLV-00005,FORM-00005,1.0
SOLV-00006,FORM-00006,1.0
SOLV-00007,FORM-00007,1.0
SOLV-00008,FORM-00008,1.0
SOLV-00009,FORM-00009,1.0
SOLV-00010,FORM-00010,1.0
SOLV-00011,FORM-00011,1.0
SOLV-00012,FORM-00012,1.0
SOLV-00013,FORM-00013,1.0
SOLV-00014,FORM-00014,1.0
SOLV-00015,FORM-00015,1.0
SOLV-00016,FORM-00016,1.0
SOLV-00017,FORM-00017,1.0
SOLV-00018,FORM-00018,1.0
SOLV-00019,FORM-00019,1.0
SOLV-00020,FORM-00020,1.0
SOLV-00021,FORM-00021,1.0
SOLV-00022,FORM-00022,1.0
SOLV-00023,FORM-00023,1.0
SOLV-00024,FORM-00024,1.0
SOLV-00025,FORM-00025,1.0
SOLV-00026,FORM-00026,1.0
SOLV-00027,FORM-00027,1.0
SOLV-00028,FORM-00028,1.0
SOLV-00029,FORM-00029,1.0
SOLV-00030,FORM-00030,1.0
SOLV-00031,FORM-00031,1.0
SOLV-00032,FORM-00032,1.0
SOLV-00033,FORM-00033,1.0